Employer,City,State,CEI Rating
3M Co.,St Paul,MN,85
A.T. Kearney Inc.,Chicago,IL,100
AAA Northern California Nevada and Utah,Walnut Creek,CA,100
Abbott Laboratories,Abbott Park,IL,85
Abercrombie & Fitch Co.,New Albany,OH,100
AbitibiBowater Inc.,Greenville,SC,0
Accenture Ltd.,New York,NY,100
Acer Inc.,Irvine,CA,50
Adecco North America LLC,Melville,NY,85
Adobe Systems Inc.,San Jose,CA,95
Advance Auto Parts (Advance Holding),Roanoke,VA,30
Advanced Micro Devices Inc.,Sunnyvale,CA,93
AECOM Technology Corp.,Los Angeles,CA,30
AEGON USA Inc.,Cedar Rapids,IA,40
AES Corp. The,Arlington,VA,15
Aetna Inc.,Hartford,CT,100
Affiliated Computer Services,Dallas,TX,60
AFLAC Inc.,Columbus,GA,100
Agco,Duluth,GA,30
Agilent Technologies Inc.,Santa Clara,CA,100
Ahold USA Inc.,Quincy,MA,78
AIG,New York,NY,100
Air Products & Chemicals Inc.,Allentown,PA,100
AK Steel Holding Corp.,West Chester,OH,0
Akin Gump Strauss Hauer & Feld LLP,Washington DC,DC,100
Alaska Air Group Inc.,Seattle,WA,100
Alcatel-Lucent,Murray Hill,NJ,100
Alcoa Inc.,New York,NY,100
Aleris International Inc.,Beachwood,OH,0
Allegheny Energy Inc.,Greensburg,PA,45
Allegheny Technologies Inc.,Pittsburgh,PA,30
Alliant Energy Corp.,Madison,WI,80
Alliant Techsystems Inc.,Minneapolis,MN,65
Allianz Life Insurance Co. of North America,Minneapolis,MN,100
Allscripts-Misys Healthcare Solutions Inc.,Chicago,IL,43
Allstate Corp. The,Northbrook,IL,100
Alston & Bird LLP,Atlanta,GA,100
Altria Group Inc.,Richmond,VA,35
Amazon.com Inc.,Seattle,WA,70
AMC Entertainment Inc.,Kansas City,MO,100
Ameren Corp.,St. Louis,MO,43
American Eagle Outfitters Inc.,Pittsburgh,PA,93
American Electric Power Co. Inc.,Columbus,OH,15
American Express Co.,New York,NY,100
American Family Insurance Group,Madison,WI,88
Ameriprise Financial Inc.,Minneapolis,MN,100
AmerisourceBergen Corp.,Chesterbrook,PA,30
Amgen Inc.,Thousand Oaks,CA,70
AMR Corp. (American Airlines),Fort Worth,TX,100
AmTrust Bank,Cleveland,OH,83
Anadarko Petroleum,The Woodlands,TX,0
Andrews Kurth LLP,Houston,TX,100
Anheuser-Busch Companies Inc.,St. Louis,MO,100
Anixter International Inc.,Glenview,IL,30
Aon Corp.,Chicago,IL,100
Apache Corp.,Houston,TX,30
Apple Inc.,Cupertino,CA,100
Applied Materials Inc.,Santa Clara,CA,100
Aramark Corp.,Philadelphia,PA,90
Archer Daniels Midland Co.,Decatur,IL,40
Arent Fox LLP,Washington DC,DC,100
Arnold & Porter LLP,Washington DC,DC,100
Arrow Electronics,Melville,NY,85
ArvinMeritor Inc.,Troy,MI,35
Asbury Automotive Group,Duluth,GA,30
Ashland Inc.,Covington,KY,30
Assurant,New York,NY,15
Astellas Pharma US Inc.,Deerfield,IL,63
AstraZeneca PLC,Wilmington,DE,80
AT&T Inc.,Dallas,TX,100
Atmos Energy Corp.,Dallas,TX,30
Austin Radiological Assn.,Austin,TX,33
Autoliv Inc.,Auburn Hills,MI,30
Automatic Data Processing Inc.,Roseland,NJ,100
AutoNation Inc.,Fort Lauderdale,FL,15
Auto-Owners Insurance Group,Lansing,MI,0
AutoZone Inc.,Memphis,TN,25
Avaya Inc.,Basking Ridge,NJ,85
Avery Dennison,Pasadena,CA,15
Avis Budget Group Inc.,Parsippany,NJ,60
Avnet Inc.,Phoenix,AZ,65
Avon Products Inc.,New York,NY,90
BJ's Wholesale Club,Natick,MA,15
Bain & Co. Inc. ( & Bridgespan Group Inc.),Boston,MA,100
Baker & Daniels LLP,Indianapolis,IN,100
Baker & McKenzie,Chicago,IL,100
Baker Botts LLP,Houston,TX,100
Baker Hughes Inc.,Houston,TX,15
Baker Donelson Bearman Caldwell & Berkowitz PC,Memphis,TN,70
Baldor Electric Co.,Fort Smith,AR,20
Ball Corp.,Broomfield,CO,43
Ballard Spahr LLP,Philadelphia,PA,100
Bank of America Corp.,Charlotte,NC,100
Bank of New York Mellon Corp.  The (BNY Mellon),New York,NY,100
Barclays Capital,New York,NY,80
Barnes & Noble Inc.,New York,NY,30
BASF Corp.,Florham Park,NJ,100
Bausch & Lomb Inc.,Rochester,NY,15
Baxter International Inc.,Deerfield,IL,80
Bayer Corp.,Pittsburgh,PA,85
BB&T Corp.,Winston-Salem,NC,88
Becton Dickinson and Co.,Franklin Lakes,NJ,60
Bed Bath & Beyond Inc.,Union,NJ,30
Berkshire Hathaway Inc.,Omaha,NE,0
Best Buy Co. Inc.,Richfield,MN,85
Big Lots,Columbus,OH,15
Bingham McCutchen LLP,Boston,MA,100
BJ Services Company,Houston,TX,0
Black & Decker Corp. The,Towson,MD,50
BlackRock,New York,NY,80
Blockbuster Inc.,Dallas,TX,45
Blue Cross Blue Shield of Florida Inc.,Jacksonville,FL,100
Blue Cross Blue Shield of Minnesota,Eagan,MN,95
Blue Cross Blue Shield of North Carolina,Durham,NC,90
BMC Software Inc.,Houston,TX,100
BNP Paribas,New York,NY,100
Boehringer Ingelheim USA Corp.,Ridgefield,CT,100
Boeing Co.,Chicago,IL,100
Bon-Ton Stores  Inc.,York,PA,30
Booz Allen Hamilton Inc.,McLean,VA,100
Borders Group Inc.,Ann Arbor,MI,30
BorgWarner Inc.,Auburn Hills,MI,30
Boston Consulting Group,Boston,MA,100
Boston Scientific Corp.,Natick,MA,100
BP America Inc.,Houston,TX,100
Bridgestone Americas Holding Inc.,Nashville,TN,80
