Employer,City,State,CEI Rating
Avis Budget Group Inc.,Parsippany,NJ,95
Avita Pharmacy,Plano,TX,100
Avnet Inc.,Phoenix,AZ,90
Avon Products Inc.,Rye,NY,100
AXA Equitable Life,New York,NY,100
Axiom Global Inc.,New York,NY,100
BAE Systems Inc.,Falls Church,VA,100
Bain & Co. Inc./Bridgespan Group,Boston,MA,100
Baker & Hostetler LLP,Cleveland,OH,100
Baker & McKenzie LLP,Chicago,IL,100
Baker Botts LLP,Houston,TX,100
Baker Donelson Bearman Caldwell & Berkowitz PC,Memphis,TN,90
Ball Corp.,Westminster,CO,100
Ballard Spahr LLP,Philadelphia,PA,100
Bama Companies Inc. The,Tulsa,OK,80
Bank of America Corp.,Charlotte,NC,75
Bank of New York Mellon Corp.  The,New York,NY,100
Bank of the West,San Francisco,CA,100
Barclays,New York,NY,100
Barilla America Inc.,Northbrook,IL,100
Barnes & Noble Inc.,New York,NY,100
Barnes & Thornburg LLP,Indianapolis,IN,90
BASF Corp.,Florham Park,NJ,100
Bass Berry & Sims PLC,Nashville,TN,100
Battelle Energy Alliance (Idaho National Laboratory),Idaho Falls,ID,95
Battelle Memorial Institute,Columbus,OH,95
Baxter International Inc.,Deerfield,IL,100
Bayer U.S. LLC,Whippany,NJ,100
BBVA USA,Birmingham,AL,100
Beacon Roofing Supply Inc.,Herndon,VA,20
Beam Suntory,Chicago,IL,100
Becton Dickinson and Co.,Franklin Lakes,NJ,100
Bed Bath & Beyond Inc.,Union,NJ,20
Ben & Jerry's Homemade Inc.,South Burlington,VT,100
Berkeley Research Group LLC,Emeryville,CA,85
Berkshire Bank,Boston,MA,100
Berkshire Hathaway,Omaha,NE,20
Berry Global Inc.,Evansville,IN,100
Best Buy Co. Inc.,Richfield,MN,100
Big Lots,Columbus,OH,90
Biogen,Cambridge,MA,100
BioMarin Pharmaceutical Inc.,San Rafael,CA,100
BJ's Wholesale Club,Westborough,MA,90
Black & Veatch Holding Inc.,Overland Park,KS,100
Black Knight Inc.,Jacksonville,FL,100
BlackRock,New York,NY,100
Blackstone Group LP The,New York,NY,100
Blank Rome LLP,Philadelphia,PA,100
Blend,San Francisco,CA,95
Bloomberg LP,New York,NY,100
Bloomin' Brands Inc.,Tampa,FL,50
Blue Cross & Blue Shield of Rhode Island,Providence,RI,100
Blue Cross and Blue Shield of Louisiana,Baton Rouge,LA,70
Blue Cross Blue Shield of Florida Inc.,Jacksonville,FL,100
Blue Cross Blue Shield of Massachusetts,Boston,MA,100
Blue Cross Blue Shield of Michigan,Detroit,MI,85
Blue Cross Blue Shield of Minnesota,Eagan,MN,100
Blue Cross Blue Shield of North Carolina,Durham,NC,75
Blue Shield of California,San Francisco,CA,100
BlueCross BlueShield of Tennessee,Chattanooga,TN,100
BMC Software Inc.,Houston,TX,45
BMO Financial Corp.,Chicago,IL,100
BNP Paribas,New York,NY,100
Bob Evans Farms Inc.,New Albany,OH,60
Boehringer Ingelheim USA Corp.,Ridgefield,CT,100
Boeing Co.,Chicago,IL,90
Boies Schiller Flexner LLP,New York,NY,100
Booking Holdings Inc.,Norwalk,CT,20
Books-A-Million Inc.,Birmingham,AL,80
Booz Allen Hamilton Inc.,McLean,VA,100
BorgWarner Inc.,Auburn Hills,MI,75
Boston Consulting Group,Boston,MA,100
Boston Scientific Corp.,Marlborough,MA,100
BounceX,New York,NY,100
Box Inc.,Redwood City,CA,100
BP America Inc.,Houston,TX,100
Bracewell LLP,Houston,TX,95
Bradley Arant Boult Cummings LLP,Birmingham,AL,100
Bridgestone Americas Holding Inc.,Nashville,TN,90
Bridgewater Associates LP,Westport,CT,100
Bright Horizons,Watertown,MA,90
Brighthouse Financial,Charlotte,NC,20
Brinker International Inc.,Dallas,TX,85
Bristol Myers Squibb,New York,NY,100
Broadcom Inc.,Irvine,CA,20
Broadridge Financial Solutions Inc.,Lake Success,NY,100
Brooks Brothers Group Inc.,New York,NY,90
Brooks Sports Inc.,Seattle,WA,100
Brown Advisory,Baltimore,MD,100
Brown Brothers Harriman & Co.,New York,NY,100
Brown Rudnick LLP,Boston,MA,100
Brown-Forman Corp.,Louisville,KY,100
Brownstein Hyatt Farber Schreck LLP,Denver,CO,100
Bryan Cave Leighton Paisner LLP,St. Louis,MO,100
Buchalter a Professional Corporation,Los Angeles,CA,95
Buchanan Ingersoll & Rooney PC,Pittsburgh,PA,100
Buckley LLP,Washington DC,DC,100
Builders FirstSource Inc.,Dallas,TX,20
Burlington Stores Inc.,Burlington,NJ,90
Burr & Forman LLP,Birmingham,AL,90
Buzzfeed,New York,NY,100
C&S Wholesale Grocers Inc.,Keene,NH,100
Cadence Design Systems,San Jose,CA,100
Cadwalader Wickersham & Taft LLP,New York,NY,100
Caesars Entertainment Corp.,Las Vegas,NV,100
Cahill Gordon & Reindel,New York,NY,95
Caleres,St. Louis,MO,95
Calpine Corp.,Houston,TX,20
Cambia Health Solutions Inc.,Portland,OR,100
Cambridge Associates LLC,Boston,MA,100
Campbell Soup Company,Camden,NJ,85
CannonDesign,New York,NY,80
Capgemini America INC,Chicago,IL,100
Capital Area Services Company LLC (CASCI),Charleston,WV,100
Capital Group Companies Inc. The,Los Angeles,CA,100
Capital Markets Company NV The,New York,NY,100
Capital One Financial Corp.,McLean,VA,100
Capri Holdings Limited,New York,NY,100
Cardinal Health Inc.,Dublin,OH,100
CareFirst Inc.,Baltimore,MD,70
CareSource,Dayton,OH,70
Cargill Inc.,Wayzata,MN,100
Cargo Transporters Inc.,Claremont,NC,100
Caribou Coffee Company Inc.,Minneapolis,MN,75
Carlson Inc.,Minnetonka,MN,100
Carlton Fields P.A.,Tampa,FL,100
Carlyle Group LP The,Washington DC,DC,100
CarMax Inc.,Richmond,VA,100
Carnival Corp.,Miami,FL,100
Carrier Global Corporation,Palm Beach Gardens,FL,100
Casey's General Stores Inc.,Ankeny,IA,0
Caterpillar Inc.,Deerfield,IL,80
CBRE Inc.,Los Angeles,CA,100
CDW Corp.,Lincolnshire,IL,100
Celanese Corp.,Irving,TX,100
Celgene Corp.,Summit,NJ,100
Cengage Learning Inc.,Boston,MA,100
Centene Corp.,St. Louis,MO,100
CenterPoint Energy Inc.,Houston,TX,65
Cerner Corp.,North Kansas City,MO,100
CGI,Fairfax,VA,100
Change Healthcare,Nashville,TN,90
Chapman and Cutler LLP,Chicago,IL,100
Charles Schwab & Co. Inc.,San Francisco,CA,100
Charter Communications,Stamford,CT,90
Chemonics International Inc.,Washington DC,DC,100
Chemours Company The,Wilmington,DE,80
Chesapeake Energy Corp.,Oklahoma City,OK,70
Chevron Corp.,San Ramon,CA,100
CHG Healthcare Inc.,Midvale,UT,85
Chico's FAS Inc.,Fort Myers,FL,75
Chipotle Mexican Grill Inc.,Newport Beach,CA,100
Choate Hall & Stewart LLP,Boston,MA,100
Chobani,Norwich,NY,100
Choice Hotels International Inc.,Rockville,MD,100
CHS Inc.,Inver Grove Heights,MN,20
Chubb Ltd.,Philadelphia,PA,100
CIBC Bank USA,New York,NY,100
CIGNA Corp.,Bloomfield,CT,100
Cimpress USA Inc.,Waltham,MA,100
Cintas Corp.,Cincinnati,OH,20
Cisco Systems Inc.,San Jose,CA,100
CIT Group Inc.,New York,NY,100
Citigroup Inc.,New York,NY,100
Citizens Financial Group,Providence,RI,100
Citrix Systems Inc.,Fort Lauderdale,FL,100
Cleary Gottlieb Steen & Hamilton LLP,New York,NY,100
Clifford Chance US LLP,New York,NY,90
Clorox Co. The,Oakland,CA,100
Cloudera Inc.,Palo Alto,CA,70
Cloudflare Inc.,San Francisco,CA,100
CME Group Inc.,Chicago,IL,100
CNA Financial Corporation,Chicago,IL,100
CNO Financial Group Inc.,Carmel,IN,95
Coca-Cola Co. The,Atlanta,GA,100
Cognizant Technology Solutions Corp.,Teaneck,NJ,70
Coinbase Inc.,San Francisco,CA,95
Colgate-Palmolive Co.,New York,NY,100
Coloplast US,Minneapolis,MN,70
Comcast NBCUniversal,Philadelphia,PA,100
Comerica Inc.,Dallas,TX,100
Commerce Bank,Kansas City,MO,90
Community Care Behavioral Health Organization,Pittsburgh,PA,100
Community Health Systems  Inc.,Franklin,TN,20
Compass Group USA Inc.,Charlotte,NC,100
Conagra Brands Inc.,Chicago,IL,100
Conduent Inc.,Florham Park,NJ,80
ConocoPhillips,Houston,TX,100
Consolidated Edison Co.,New York,NY,65
Constellation Brands Inc.,Victor,NY,100
CONSUMER REPORTS INC.,Yonkers,NY,75
Consumers Energy,Jackson,MI,90
Convergys Corp.,Cincinnati,OH,90
Cooley LLP,Palo Alto,CA,100
Cooper Tire & Rubber Co.,Findlay,OH,100
CooperCompanies,San Ramon,CA,85
CoreLogic,Irvine,CA,50
Core-Mark Holding Company Inc.,Westlake,TX,70
Cornerstone OnDemand Inc.,Santa Monica,CA,85
Corning,Corning,NY,100
Corteva Agriscience,Wilmington,DE,100
Cosmopolitan of Las Vegas  The,Las Vegas,NV,100
Costco Wholesale Corp.,Issaquah,WA,60
Coty Inc.,New York,NY,85
Covington & Burling LLP,Washington DC,DC,100
Cox Enterprises Inc.,Atlanta,GA,100
Cozen O'Connor,Philadelphia,PA,100
Cracker Barrel Old Country Store Inc.,Lebanon,TN,80
Crate and Barrel/CB2,Northbrook,IL,75
Cravath Swaine & Moore LLP,New York,NY,90
Credit Suisse USA Inc.,New York,NY,100
CrowdStrike Inc.,Sunnyvale,CA,100
Crowell & Moring LLP,Washington DC,DC,100
Crown Holdings,Philadelphia,PA,20
CSAA Insurance Group,Walnut Creek,CA,100
CSX Corp.,Jacksonville,FL,80
Cubic Corporation,San Diego,CA,100
Cummins Inc.,Columbus,IN,100
CUNA Mutual Group,Madison,WI,100
Cushman & Wakefield,Chicago,IL,90
CVS Health Corp.,Woonsocket,RI,90
Daimler Trucks North America LLC,Portland,OR,90
Dana Inc.,Maumee,OH,90
Danaher Corp.,Washington DC,DC,100
Daniel J. Edelman Inc.,New York,NY,90
Danone North America,White Plains,NY,90
Darden Restaurants Inc.,Orlando,FL,90
Davis Polk & Wardwell LLP,New York,NY,100
Davis Wright Tremaine LLP,Seattle,WA,100
Day & Zimmermann LLC,Philadelphia,PA,95
Day Pitney LLP,Parsippany,NJ,100
DCP Midstream Partners,Denver,CO,20
Dean Foods Co.,Dallas,TX,0
Debevoise & Plimpton LLP,New York,NY,100
Dechert LLP,Philadelphia,PA,100
Deere & Co.,Moline,IL,90
Delek US Holdings,Brentwood,TN,60
Dell Technologies Inc.,Round Rock,TX,100
Deloitte LLP,New York,NY,100
Delta Air Lines Inc.,Atlanta,GA,85
Deluxe Corp.,Shoreview,MN,85
Denny's Corp.,Spartanburg,SC,90
Dentons US LLP,Washington DC,DC,100
Depository Trust & Clearing Corp. The,New York,NY,100
Designer Brands,Columbus,OH,100
Deutsche Bank,New York,NY,90
Devon Energy Corp.,Oklahoma City,OK,65
Diageo North America,Norwalk,CT,100
Dickinson Wright PLLC,Detroit,MI,100
Dick's Sporting Goods Inc.,Coraopolis,PA,90
Digitas,Boston,MA,100
Dillard's Inc.,Little Rock,AR,20
Dinsmore & Shohl LLP,Cincinnati,OH,100
Direct Energy,Houston,TX,90
Discover Financial Services,Riverwoods,IL,100
Discovery Communications Inc.,Silver Spring,MD,20
DISH Network Corp.,Englewood,CO,10
DLA Piper,Baltimore,MD,100
Dole Food Co. Inc.,Westlake Village,CA,30
Dollar General Corp.,Goodlettsville,TN,90
Dominion Energy,Richmond,VA,100
Domino's Pizza Inc.,Ann Arbor,MI,75
Dorsey & Whitney LLP,Minneapolis,MN,100
Dover Corp.,Downers Grove,IL,20
Dow,Midland,MI,100
DR Horton Inc.,Arlington,TX,20
Dropbox Inc.,San Francisco,CA,100
DTE Energy Co.,Detroit,MI,75
Duane Morris LLP,Philadelphia,PA,100
Duff & Phelps,New York,NY,85
Duke Energy Corp.,Charlotte,NC,100
Dun & Bradstreet Corp. The,Short Hills,NJ,100
Dunkin' Brands Group Inc.,Canton,MA,100
DXC Technology,Tysons,VA,60
Dykema Gossett PLLC,Detroit,MI,100
E&J Gallo Winery,Modesto,CA,100
E. I. du Pont de Nemours and Co. (DuPont),Wilmington,DE,100
EAB,Washington DC,DC,100
Eastern Bank Corporation/Eastern Bankshares Inc.,Boston,MA,100
Eastman Chemical Co.,Kingsport,TN,100
Eastman Kodak Co.,Rochester,NY,20
Eaton Corp.,Cleveland,OH,100
Eaton Vance,Boston,MA,100
eBay Inc.,San Jose,CA,100
Ecolab Inc.,St. Paul,MN,100
Edison International,Rosemead,CA,100
Edward Jones,Des Peres,MO,100
Egon Zehnder International Inc.,New York,NY,100
Electronic Arts Inc.,Redwood City,CA,100
Eli Lilly & Co.,Indianapolis,IN,100
EMCOR Group Inc.,Norwalk,CT,20
EMD Serono MilliporeSigma and EMD Performance Materials,Burlington,MA,100
Emerson Electric Co.,St. Louis,MO,100
Emmis Communications Corporation,Indianapolis,IN,50
Empower Retirement,Greenwood Village,CO,85
Enbridge,Houston,TX,100
Encova Insurance,Columbus,OH,80
Energy Transfer Equity L.P.,Dallas,TX,20
ENGIE North America,Houston,TX,90
EnLink Midstream,Dallas,TX,0
Entergy Corp.,New Orleans,LA,90
Enterprise Community Partners,Columbia,MD,85
Enterprise Holdings Inc.,St. Louis,MO,95
Enterprise Products Partners LP,Houston,TX,10
EOG Resources,Houston,TX,20
Epsilon Data Management LLC,Irving,TX,100
Epstein Becker & Green PC,New York,NY,90
EQT Corporation,Pittsburgh,PA,90
Equinix,Redwood City,CA,100
Ericsson Inc,Plano,TX,100
Erie Insurance Group,Erie,PA,90
Ernst & Young LLP,New York,NY,100
Essendant,Deerfield,IL,70
Estée Lauder Companies Inc. The,New York,NY,100
Esurance Inc.,San Francisco,CA,75
Ethan Allen Interiors Inc.,Danbury,CT,75
Etsy Inc.,Brooklyn,NY,100
Eurofins Scientific,Lancaster,PA,90
Eversheds Sutherland (US) LLP,Atlanta,GA,100
Eversource Energy,Springfield,MA,85
Evolent Health Inc.,Arlington,VA,85
Excellus Health Plan Inc.,Rochester,NY,100
Exelon Corp.,Chicago,IL,100
Expedia Group,Bellevue,WA,100
Expeditors International of Washington DC Inc.,Seattle,WA,20
Experian North America,Costa Mesa,CA,100
Exxon Mobil Corp.,Irving,TX,85
Facebook Inc.,Menlo Park,CA,100
FactSet Research Systems Inc.,Norwalk,CT,100
Faegre Drinker Biddle & Reath LLP,Chicago,IL,100
Farmers Insurance Group,Woodland Hills,CA,100
FCA US LLC,Auburn Hills,MI,90
Federal Home Loan Mortgage Corp. (Freddie Mac),McLean,VA,100
Federal National Mortgage Association (Fannie Mae),Washington DC,DC,100
Federal Reserve Bank of Atlanta,Atlanta,GA,100
Federal Reserve Bank of Boston,Boston,MA,100
Federal Reserve Bank of Chicago,Chicago,IL,100
Federal Reserve Bank of Cleveland,Cleveland,OH,100
Federal Reserve Bank of Dallas,Dallas,TX,85
Federal Reserve Bank of Kansas City,Kansas City,MO,100
Federal Reserve Bank of Minneapolis,Minneapolis,MN,100
Federal Reserve Bank of New York,New York,NY,100
Federal Reserve Bank of Philadelphia,Philadelphia,PA,100
Federal Reserve Bank of Richmond,Richmond,VA,100
Federal Reserve Bank of San Francisco,San Francisco,CA,100
Federal Reserve Bank of St Louis,Saint Louis,MO,100
FedEx Corp.,Memphis,TN,85
Fenwick & West LLP,Mountain View,CA,100
Fidelity Investments,Boston,MA,100
Fidelity National Financial Corp.,Jacksonville,FL,20
Fidelity National Information Services Inc.,Jacksonville,FL,100
Fifth Third Bancorp,Cincinnati,OH,100
Financial Industry Regulatory Authority Inc.,Washington DC,DC,100
Finnegan Henderson Farabow Garrett & Dunner LLP,Washington DC,DC,100
Firmenich Inc.,Plainsboro,NJ,80
First American Financial Corp.,Santa Ana,CA,100
First Horizon National Corp.,Memphis,TN,75
FirstEnergy Corp.,Akron,OH,90
Fiserv Inc.,Brookfield,WI,100
Fish & Richardson PC,Boston,MA,100
Fisher & Phillips LLP,Atlanta,GA,100
Fitch Group Inc.,New York,NY,100
Flagstar Bancorp Inc.,Troy,MI,80
Fleishman-Hillard Inc.,St. Louis,MO,100
Fluor Corp.,Irving,TX,60
FMC Corp.,Philadelphia,PA,100
Foley & Lardner LLP,Milwaukee,WI,100
Foley Hoag LLP,Boston,MA,100
Food Lion LLC,Salisbury,NC,100
Ford Motor Co.,Dearborn,MI,80
Fortive Corp.,Everett,WA,100
Fossil Group Inc.,Richardson,TX,100
Fox Corporation,New York,NY,50
Fox Rothschild LLP,Philadelphia,PA,100
Franklin Templeton Investments,San Mateo,CA,100
Fredrikson & Byron,Minneapolis,MN,100
Freeport-McMoRan Copper & Gold Inc.,Phoenix,AZ,20
Fried Frank Harris Shriver & Jacobson LLP,New York,NY,100
Frontier Communications,Norwalk,CT,20
Frost Brown Todd LLC,Cincinnati,OH,100
Fujitsu America Inc.,Richardson,TX,100
Galloway Johnson Tompkins Burr & Smith PLC,New Orleans,LA,90
GameStop Corp.,Grapevine,TX,90
Gannett Co. Inc.,McLean,VA,100
Gap Inc.,San Francisco,CA,100
Gartner Inc.,Stamford,CT,100
Gastronomy Inc.,Salt Lake City,UT,90
GE Appliances,Louisville,KY,100
Genentech Inc.,South San Francisco,CA,100
General Dynamics Corp.,Falls Church,VA,60
General Electric Co.,Boston,MA,90
General Mills Inc.,Minneapolis,MN,100
General Motors Co.,Detroit,MI,90
Genesco Inc.,Nashville,TN,100
Genuine Parts Co.,Atlanta,GA,20
Genworth Financial Inc.,Richmond,VA,100
Gerson Lehrman Group Inc.,New York,NY,100
GIANT Company  The,Carlisle,PA,100
Giant Eagle Inc.,Pittsburgh,PA,100
Giant of Maryland LLC,Landover,MD,100
Gibson Dunn & Crutcher LLP,Los Angeles,CA,100
Gilead Sciences Inc.,Foster City,CA,100
GlassBridge Enterprises Inc.,Oakdale,MN,30
GlaxoSmithKline LLC,Research Triangle Park,NC,100
Global Partners,Waltham,MA,20
Global Payments Inc.,Atlanta,GA,100
GODADDY Inc.,Scottsdale,AZ,100
Goldman Sachs Group Inc. The,New York,NY,100
Goodwin Procter LLP,Boston,MA,100
Goodyear Tire & Rubber Co.,Akron,OH,90
Google Inc.,Mountain View,CA,100
Gordon Rees Scully Mansukhani LLP,San Francisco,CA,100
Goulston & Storrs,Boston,MA,100
Grant Thornton LLP,Chicago,IL,100
Graphic Packaging Corp.,Atlanta,GA,20
Graybar Electric Company Inc.,St. Louis,MO,20
Great River Energy,Maple Grove,MN,100
Greenberg Traurig LLP,New York,NY,100
Group 1 Automotive,Houston,TX,10
Groupon Inc.,Chicago,IL,100
Guardian Life Insurance Co. of America The,New York,NY,100
Guess? Inc.,Los Angeles,CA,90
Guidehouse,Washington DC,DC,100
H&R Block Inc.,Kansas City,MO,100
Hachette Book Group,New York,NY,100
Hain Celestial Group Inc. The,Lake Success,NY,80
Halliburton Co.,Houston,TX,20
Hallmark Cards Inc.,Kansas City,MO,100
Hanesbrands Inc.,Winston-Salem,NC,90
Hannaford Supermarkets,Scarborough,ME,100
Hanover Insurance Group Inc. The,Worcester,MA,100
Harley-Davidson Inc.,Milwaukee,WI,90
Hartford Financial Services Group Inc. The,Hartford,CT,100
Harvard Pilgrim Health Care Inc.,Wellesley,MA,100
Hasbro Inc.,Pawtucket,RI,100
Haven Behavioral Healthcare,Nashville,TN,100
Hawaiian Airlines Inc.,Honolulu,HI,100
Haynes and Boone LLP,Dallas,TX,100
HCA Healthcare Inc.,Nashville,TN,85
HD Supply,Atlanta,GA,20
Health Care Service Corp.,Chicago,IL,100
Henry Schein Inc.,Melville,NY,100
HERE North America LLC,Chicago,IL,100
Herman Miller Inc.,Zeeland,MI,100
Herrick Feinstein LLP,New York,NY,80
Hershey Co. The,Hershey,PA,100
Hertz Global Holdings Inc.,Estero,FL,100
Hess Corp.,New York,NY,85
Hewlett Packard Enterprise Co.,San Jose,CA,100
Highmark Blue Cross Blue Shield Delaware,Wilmington,DE,100
Highmark Inc.,Pittsburgh,PA,100
Highmark West Virginia,Parkersburg,WV,100
Hilti Inc.,Plano,TX,100
HILTON,McLean,VA,100
Hinshaw & Culbertson LLP,Chicago,IL,100
Hiscox USA,New York,NY,95
Hitachi Vantara,Santa Clara,CA,95
Hogan Lovells US LLP,Washington DC,DC,100
Holland & Hart LLP,Denver,CO,100
Holland & Knight LLP,Brandon,FL,100
HollyFrontier Corp.,Dallas,TX,20
Home Depot Inc. The,Atlanta,GA,90
Honeywell International Inc.,Morris Plains,NJ,60
Horizon Blue Cross Blue Shield of New Jersey,Newark,NJ,100
Horizon Media Inc.,New York,NY,75
Hormel Foods Corp.,Austin,MN,95
Host Hotels & Resorts Inc.,Bethesda,MD,80
Houghton Mifflin Harcourt Co.,Boston,MA,95
Howard & Howard Attorneys PLLC,Royal Oak,MI,60
HP Inc.,Palo Alto,CA,100
HSBC USA,New York,NY,100
Hughes Hubbard & Reed LLP,New York,NY,90
Humana Inc.,Louisville,KY,100
Huntington Bancshares Inc.,Columbus,OH,100
Huntington Ingalls Industries,Newport News,VA,90
Hunton Andrews Kurth LLP,Washington DC,DC,100
Huntsman Corp.,The Woodlands,TX,40
Huron Consulting Group Inc.,Chicago,IL,100
Husch Blackwell LLP,St. Louis,MO,100
Hyatt Hotels Corp.,Chicago,IL,100
Hyland Software Inc.,Westlake,OH,75
Hyundai Motor America,Fountain Valley,CA,100
IAC/InterActiveCorp.,New York,NY,100
IBM Corp.,Armonk,NY,100
Icahn Enterprises LP,New York,NY,0
Ice Miller LLP,Indianapolis,IN,100
iHeartMedia Inc.,San Antonio,TX,95
IHS Markit Ltd.,New York,NY,100
IKEA Holding US Inc.,Conshohocken,PA,100
Illinois Tool Works Inc.,Glenview,IL,80
Illumina,San Diego,CA,100
Impossible Foods,Redwood City,CA,100
Indeed Inc.,Austin,TX,100
Informa PLC,Sarasota,FL,90
Information Resources Inc.,Chicago,IL,100
Infosys Limited Inc.,Richardson,TX,95
Ingersoll-Rand Company,Davidson,NC,90
Ingram Micro,Irvine,CA,100
Ingredion Inc.,Westchester,IL,95
Insight Enterprises Inc.,Tempe,AZ,90
Instacart,San Francisco,CA,100
Intel Corp.,Santa Clara,CA,100
Intercontinental Exchange,Atlanta,GA,20
InterContinental Hotels Group Americas,Atlanta,GA,100
International Flavors & Fragrances,New York,NY,100
International Paper Co.,Memphis,TN,30
Interpublic Group of Companies Inc.,New York,NY,100
INTL FCStone Inc.,New York,NY,20
Intrado,Omaha,NE,100
Intuit Inc.,Mountain View,CA,100
Invesco Ltd.,Atlanta,GA,100
IQVIA Holdings,Durham,NC,20
Iron Mountain Inc.,Boston,MA,100
J. Crew Group LLC,New York,NY,100
J. M. Smucker Co.,Orrville,OH,80
J.B. Hunt Transport,Lowell,AR,70
J.C. Penney Co. Inc.,Plano,TX,90
Jabil Circuit Inc.,St. Petersburg,FL,20
Jackson Lewis PC,New York,NY,100
Jackson Walker LLP,Dallas,TX,75
Jacobs Engineering Group Inc.,Dallas,TX,100
