Employer,City,State,CEI Rating
3M Co.,St. Paul,MN,100
A|X Armani Exchange,New York,MN,50
ABB Inc.,Cary,NC,90
Abbott Laboratories,Abbott Park,IL,95
AbbVie Inc.,North Chicago,IL,100
Abercrombie & Fitch Co.,New Albany,OH,100
ABM Industries Inc.,New York,NY,20
Accenture,New York,NY,100
Activision Blizzard,Santa Monica,CA,100
Adaptive Biotechnologies Corporation,Seattle,WA,75
Adidas North America Inc.,Portland,OR,100
Adobe Inc.,San Jose,CA,100
ADP,Roseland,NJ,100
Advance Auto Parts (Advance Holding),Raleigh,NC,90
Advanced Micro Devices Inc.,Santa Clara,CA,100
AECOM,Los Angeles,CA,100
AES Corp.  The,Arlington,VA,85
Aflac Inc.,Columbus,GA,85
Agco,Duluth,GA,10
Agilent Technologies Inc.,Santa Clara,CA,85
AIG,New York,NY,100
Air Liquide US LLC,Houston,TX,100
Air Products & Chemicals Inc.,Allentown,PA,100
Airbnb Inc.,San Francisco,CA,100
Airbus Americas Inc.,Herndon,VA,100
Airlines Reporting Corporation (ARC),Arlington,VA,100
AK Steel Holding Corp.,West Chester,OH,20
Akamai Technologies Inc.,Cambridge,MA,100
Akerman LLP,Miami,FL,100
Akin Gump Strauss Hauer & Feld LLP,Washington DC,DC,100
Alaska Airlines,Seattle,WA,90
Albertsons Companies Inc.,Boise,ID,80
Alcoa Corp.,Pittsburgh,PA,95
Alcon Inc.,Fort Worth,TX,100
Alight Solutions,Lincolnshire,IL,100
AlixPartners LLP,New York,NY,100
Alleghany Corp.,New York,NY,0
Alliance Data Systems Corp.,Columbus,OH,80
AllianceBernstein LP,Nashville,TN,100
Alliant Energy Corp.,Madison,WI,100
Allianz Life Insurance Co. of North America,Minneapolis,MN,100
Allstate Insurance Co.,Northbrook,IL,95
Ally Financial Inc.,Detroit,MI,100
Alston & Bird LLP,Atlanta,GA,100
Altice USA Inc.,Long Island City,NY,100
Altria Group Inc.,Richmond,VA,100
Amalgamated Bank,New York,NY,100
A-Mark Precious Metals,El Segundo,CA,0
Amazon.com Inc.,Seattle,WA,100
AMC Entertainment Inc.,Lakewood,KS,100
Ameren Corp.,St. Louis,MO,100
American Airlines,Fort Worth,TX,100
American Apparel LLC,Los Angeles,CA,70
American Axle & Manufacturing,Detroit,MI,20
American Eagle Outfitters Inc.,Pittsburgh,PA,80
American Electric Power Co. Inc.,Columbus,OH,100
American Express Company,New York,NY,100
American Express Global Business Travel,Jersey City,NJ,100
American Family Mutual Insurance Company S.I,Madison,WI,100
American Financial Group,Cincinnati,OH,20
American Greetings Corp.,Cleveland,OH,90
American Honda Motor Co.,Torrance,CA,95
American Tower Corp.,Boston,MA,95
American Water,Camden,NJ,85
Ameriprise Financial Inc.,Minneapolis,MN,90
AmerisourceBergen Corp.,Chesterbrook,PA,100
Amgen Inc.,Thousand Oaks,CA,100
AMN Healthcare Services Inc.,San Diego,CA,95
Amphenol Corp.,Wallingford,CT,20
Analog Devices Inc.,Norwood,MA,20
Andersen Corp.,Bayport,MN,85
Andersons Inc. The,Maumee,OH,20
Anheuser-Busch Companies Inc.,St. Louis,MO,100
Anschutz Entertainment Group Inc.,Los Angeles,CA,100
Anthem Inc.,Indianapolis,IN,100
Aon plc,Chicago,IL,100
Apache Corp.,Houston,TX,20
Apollo Global Management Inc.,New York,NY,100
Appian Corporation,McLean,VA,65
Apple Inc.,Cupertino,CA,100
Applied Materials Inc.,Santa Clara,CA,100
AQR Capital Management LLC,Greenwich,CT,100
Aramark Corp.,Philadelphia,PA,100
Arcadis U.S. Inc.,Highlands Ranch,CO,100
Archer Daniels Midland Co.,Chicago,IL,100
Arconic,New York,NY,100
Arent Fox LLP,Washington DC,DC,100
Ares Management LLC,Los Angeles,CA,100
Armstrong Teasdale LLP,St. Louis,MO,100
Arnold & Porter Kaye Scholer LLP,Washington DC,DC,100
Arrow Electronics,Centennial,CO,100
Arthur J. Gallagher & Co.,Rolling Meadows,IL,100
Arup USA Inc,New York,NY,100
Asbury Automotive Group,Duluth,GA,20
Ascena Retail Group Inc.,Mahwah,NJ,100
Ashland Inc.,Covington,KY,40
Assurant,New York,NY,100
Astellas Pharma US Inc.,Northbrook,IL,100
AstraZeneca PLC,Wilmington,DE,100
Asurion LLC,Nashville,TN,100
AT&T Inc.,Dallas,TX,100
AthenaHealth Inc.,Watertown,MA,95
Athene Holding Ltd.,West Des Moines,IA,80
Atlassian,San Francisco,CA,100
Auto Club Group The,Dearborn,MI,75
Autodesk Inc.,San Rafael,CA,100
Autoliv Inc.,Auburn Hills,MI,20
AutoNation Inc.,Fort Lauderdale,FL,0
Auto-Owners Insurance Group,Lansing,MI,0
AutoZone Inc.,Memphis,TN,60
Avaya Inc.,Santa Clara,CA,65
Avery Dennison,Glendale,CA,90
Avient Corporation,Avon Lake,OH,100
