Employer,City,State,CEI Rating
3M Co.,St. Paul,MN,100
A.T. Kearney Inc.,Chicago,IL,100
A|X Armani Exchange,New York,NY,95
AAA Northern California Nevada & Utah Insurance Exchange,Walnut Creek,CA,100
Abbott Laboratories,Abbott Park,IL,60
Abercrombie & Fitch Co.,New Albany,OH,100
Accenture Ltd.,New York,NY,100
Acer Inc.,Irvine,CA,20
Adecco North America LLC,Melville,NY,90
Adobe Systems Inc.,San Jose,CA,90
Advance Auto Parts (Advance Holding),Roanoke,VA,0
Advanced Micro Devices Inc.,Sunnyvale,CA,65
AECOM Technology Corp.,Los Angeles,CA,90
AEGON USA Inc.,Cedar Rapids,IA,20
A�ropostale Inc.,New York,NY,75
AES Corp. The,Arlington,VA,50
Aetna Inc.,Hartford,CT,100
AFLAC Inc.,Columbus,GA,30
Agco,Duluth,GA,15
Agilent Technologies Inc.,Santa Clara,CA,100
Ahold USA Inc.,Quincy,MA,55
AIG,New York,NY,100
Air Products & Chemicals Inc.,Allentown,PA,90
AK Steel Holding Corp.,West Chester,OH,30
Akin Gump  Strauss Hauer & Feld LLP,Washington DC,DC,100
Alaska Air Group Inc.,Seattle,WA,100
Alcatel-Lucent,Murray Hill,NJ,100
Alcoa Inc.,New York,NY,100
Allegheny Energy Inc.,Greensburg,PA,15
Allergan Inc.,Irvine,CA,15
Alliant Energy Corp.,Madison,WI,50
Alliant Techsystems Inc.,Minneapolis,MN,50
Allianz Life Insurance Co. of North America,Minneapolis,MN,60
Allscripts-Misys Healthcare Solutions Inc.,Chicago,IL,30
Allstate Corp. The,Northbrook,IL,85
Ally Financial Inc.,Detroit,MI,15
Alston & Bird LLP,Atlanta,GA,100
Altria Group Inc.,Richmond,VA,15
Amazon.com Inc.,Seattle,WA,90
AMC Entertainment Inc.,Kansas City,MO,100
Ameren Corp.,St. Louis,MO,85
American Eagle Outfitters Inc.,Pittsburgh,PA,95
American Electric Power Co. Inc.,Columbus,OH,55
American Express Co.,New York,NY,100
American Family Insurance Group,Madison,WI,55
American Financial Group,Cincinnati,OH,0
Amerigroup Corp.,Virginia Beach,VA,15
Ameriprise Financial Inc.,Minneapolis,MN,100
AmerisourceBergen Corp.,Chesterbrook,PA,55
Amgen Inc.,Thousand Oaks,CA,100
AMR Corp. (American Airlines),Fort Worth,TX,100
Anadarko Petroleum,The Woodlands,TX,15
Andrews Kurth LLP,Houston,TX,100
Anheuser-Busch Companies Inc.,St. Louis,MO,90
Anixter International Inc.,Glenview,IL,15
AOL,New York,NY,90
Aon Corp.,Chicago,IL,100
Apache Corp.,Houston,TX,30
Apollo Group Inc.,Phoenix,AZ,15
Apple Inc.,Cupertino,CA,85
Applied Materials Inc.,Santa Clara,CA,85
Aramark Corp.,Philadelphia,PA,100
Archer Daniels Midland Co.,Decatur,IL,35
Arent Fox LLP,Washington DC,DC,100
Arnold & Porter LLP,Washington DC,DC,100
Arrow Electronics,Melville,NY,15
Ashland Inc.,Covington,KY,15
Assurant,New York,NY,85
Astellas Pharma US Inc.,Deerfield,IL,55
AstraZeneca PLC,Wilmington,DE,50
AT&T Inc.,Dallas,TX,100
Atmos Energy Corp.,Dallas,TX,30
Austin Radiological Assn.,Austin,TX,15
Autoliv Inc.,Auburn Hills,MI,40
Automatic Data Processing Inc.,Roseland,NJ,100
AutoNation Inc.,Fort Lauderdale,FL,15
AutoZone Inc.,Memphis,TN,15
Avaya Inc.,Basking Ridge,NJ,80
Avery Dennison,Pasadena,CA,65
Avis Budget Group Inc.,Parsippany,NJ,50
Avnet Inc.,Phoenix,AZ,85
Avon Products Inc.,New York,NY,95
AXA Equitable Life Insurance Company,New York,NY,90
BJ's Wholesale Club,Westborough,MA,35
Bain & Co. Inc./Bridgespan Group,Boston,MA,100
Baker & Daniels LLP,Indianapolis,IN,90
Baker & McKenzie LLP,Chicago,IL,100
Baker Botts LLP,Houston,TX,100
Baker Hughes Inc.,Houston,TX,90
Baldor Electric Co.,Fort Smith,AR,25
Ball Corp.,Broomfield,CO,55
Ballard Spahr LLP,Philadelphia,PA,90
Bank of America Corp.,Charlotte,NC,100
Bank of New York Mellon Corp. The,New York,NY,100
Barclays,New York,NY,100
Barnes & Noble Inc.,New York,NY,100
BASF Corp.,Florham Park,NJ,90
Bausch & Lomb Inc.,Rochester,NY,80
Baxter International Inc.,Deerfield,IL,100
Bayer Corp.,Pittsburgh,PA,80
BB&T Corp.,Winston-Salem,NC,75
Becton Dickinson and Co.,Franklin Lakes,NJ,30
Bed Bath & Beyond Inc.,Union,NJ,15
Bemis Co. Inc.,Neenah,WI,30
Berkshire Hathaway Inc.,Omaha,NE,15
Best Buy Co. Inc.,Richfield,MN,100
Big Lots,Columbus,OH,15
Bingham McCutchen LLP,Boston,MA,100
Biogen Idec Inc.,Weston,MA,85
BlackRock,New York,NY,100
Blue Cross Blue Shield of Florida Inc.,Jacksonville,FL,100
Blue Cross Blue Shield of Michigan,Detroit,MI,100
Blue Cross Blue Shield of Minnesota,Eagan,MN,100
Blue Cross Blue Shield of North Carolina,Durham,NC,75
BMC Software Inc.,Houston,TX,100
BMO Bankcorp Inc.,Chicago,IL,100
BNP Paribas,New York,NY,100
Bob Evans Farms Inc.,Columbus,OH,75
Boehringer Ingelheim USA Corp.,Ridgefield,CT,100
Boeing Co.,Chicago,IL,85
Bon-Ton Stores Inc. The,York,PA,90
Booz Allen Hamilton Inc.,McLean,VA,100
BorgWarner Inc.,Auburn Hills,MI,30
Boston Consulting Group,Boston,MA,100
Boston Scientific Corp.,Natick,MA,65
BP America Inc.,Houston,TX,90
Bracewell & Giuliani,Houston,TX,90
Bridgestone Americas Holding Inc.,Nashville,TN,70
Bright Horizons Family Solutions Inc.,Watertown,MA,90
Brightpoint Inc.,Indianapolis,IN,15
Brinker International Inc.,Dallas,TX,60
Bristol-Myers Squibb Co.,New York,NY,100
Broadcom Corp.,Irvine,CA,100
Broadridge Financial Solutions Inc.,Lake Success,NY,100
Brown Rudnick LLP,Boston,MA,100
Brown Shoe Company Inc.,St. Louis,MO,35
Brown-Forman Corp.,Louisville,KY,100
Bryan Cave LLP,Saint Louis,MO,100
Burger King Corp.,Miami,FL,55
Burlington Coat Factory Warehouse Corp.,Burlington,NJ,60
Burlington Northern Santa Fe Corp.,Fort Worth,TX,30
C&S Wholesale Grocers Inc.,Keene,NH,20
C.H. Robinson Worldwide,Eden Prairie,MN,15
CA Inc.,Islandia,NY,100
Cablevision Systems Corp.,Bethpage,NY,85
Cadwalader Wickersham & Taft LLP,New York,NY,100
Caesars Entertainment Corp.,Las Vegas,NV,100
Calpine Corp.,Houston,TX,40
Cameron International Corp.,Houston,TX,15
Campbell Soup Co.,Camden,NJ,90
Canadian Imperial Bank of Commerce,New York,NY,90
Capgemini U.S. LLC,New York,NY,90
Capital One Financial Corp.,McLean,VA,90
Cardinal Health Inc.,Dublin,OH,100
CareFusion Corp.,San Diego,CA,100
Cargill Inc.,Wayzata,MN,100
Carlson Companies Inc.,Minnetonka,MN,85
Carlton Fields PA,Tampa,FL,100
CarMax Inc.,Richmond,VA,85
Caterpillar Inc.,Peoria,IL,60
CBRE Inc.,Los Angeles,CA,90
CBS Corp.,New York,NY,100
CC Media Holdings Inc. (Clear Channel),San Antonio,TX,75
CDW Corp.,Vernon Hills,IL,90
Celanese Corp.,Dallas,TX,15
Centene Corp.,St. Louis,MO,15
CenterPoint Energy Inc.,Houston,TX,15
CenturyLink Inc.,Monroe,LA,50
Cerner Corp.,Kansas City,MO,70
CH2M HILL Companies Ltd.,Englewood,CO,85
Chadbourne & Parke LLP,New York,NY,90
Chamberlin Edmonds & Associates Inc.,Atlanta,GA,90
Chapman and Cutler LLP,Chicago,IL,100
Charles Schwab Corp.,San Francisco,CA,100
Charter Communications,St. Louis,MO,15
Chesapeake Energy Corp.,Oklahoma City,OK,15
Chevron Corp.,San Ramon,CA,90
Chipotle Mexican Grill Inc.,Denver,CO,75
Choate Hall & Stewart LLP,Boston,MA,100
Choice Hotels International Inc.,Silver Spring,MD,60
Chrysler Group LLC,Auburn Hills,MI,70
CHS Inc.,Inver Grove Heights,MN,15
Chubb Corp.,Warren,NJ,90
CIGNA Corp.,Bloomfield,CT,100
Cisco Systems Inc.,San Jose,CA,100
CIT Group Inc.,New York,NY,15
Citigroup Inc.,New York,NY,100
Classified Ventures LLC,Chicago,IL,90
Cleary Gottlieb Steen & Hamilton LLP,New York,NY,100
Cleveland-Cliffs Inc.,Cleveland,OH,30
Clifford Chance US LLP,New York,NY,100
Clorox Co.,Oakland,CA,85
CMS Energy Services,Jackson,MI,15
CNA Insurance,Chicago,IL,85
Coach Inc.,New York,NY,75
Coca-Cola Co. The,Atlanta,GA,100
Cognizant Technology Solutions Corp.,Teaneck,NJ,15
Colgate-Palmolive Co.,New York,NY,85
Comcast Corp.,Philadelphia,PA,100
Comerica Inc.,Dallas,TX,95
Commercial Metals,Irving,TX,85
Community Health Systems Inc.,Franklin,TN,30
Compass Bancshares Inc. (BBVA Compass),Birmingham,AL,55
Compass Group USA Inc.,Charlotte,NC,15
Computer Sciences Corp. (CSC),Falls Church,VA,85
Compuware Corp.,Detroit,MI,60
ConAgra Foods Inc.,Omaha,NE,95
ConocoPhillips,Houston,TX,55
Consol Energy Inc.,Canonsburg,PA,15
Consolidated Edison Co.,New York,NY,90
Constellation Energy Group Inc.,Baltimore,MD,90
Convergys Corp.,Cincinnati,OH,15
Con-way Inc.,Ann Arbor,MI,30
Cooper Tire & Rubber Co.,Findlay,OH,25
Corbis Corp.,Seattle,WA,50
CoreLogic,Santa Ana,CA,50
Core-Mark Holding Company Inc.,South San Francisco,CA,0
Corning Inc.,Corning,NY,85
Costco Wholesale Corp.,Issaquah,WA,90
Coventry Health Care,Bethesda,MD,15
Covington & Burling LLP,Washington DC,DC,100
Cox Enterprises Inc.,Atlanta,GA,35
Cracker Barrel Old Country Store Inc.,Lebanon,TN,35
Crate and Barrel / CB2,Northbrook,IL,90
Cravath Swaine & Moore LLP,New York,NY,100
Credit Suisse USA Inc.,New York,NY,100
Crowell & Moring LLP,Washington DC,DC,100
Crown Holdings,Philadelphia,PA,15
CSX Corp.,Jacksonville,FL,85
Cummins Inc.,Columbus,IN,100
CUNA Mutual Insurance Group,Madison,WI,100
CVS Caremark Corp.,Woonsocket,RI,60
Dana Holding Corp.,Maumee,OH,45
Danaher Corp.,Washington DC,DC,55
Darden Restaurants Inc.,Orlando,FL,100
Davis Polk & Wardwell LLP,New York,NY,75
Davis Wright Tremaine LLP,Seattle,WA,85
DaVita Inc.,Denver,CO,85
Dean Foods Co.,Dallas,TX,55
Debevoise & Plimpton LLP,New York,NY,100
Dechert LLP,Philadelphia,PA,100
Deere & Co.,Moline,IL,65
Delhaize America Inc.,Salisbury,NC,60
Dell Inc.,Round Rock,TX,100
Deloitte LLP,New York,NY,100
Delta Air Lines Inc.,Atlanta,GA,100
Depository Trust & Clearing Corp. The,New York,NY,85
Deutsche Bank,New York,NY,100
Devon Energy Corp.,Oklahoma City,OK,30
Dewey & LeBoeuf LLP,New York,NY,100
Diageo North America,Norwalk,CT,100
Dick's Sporting Goods Inc.,Coraopolis,PA,15
Dickstein Shapiro LLP,Washington DC,DC,100
Digitas Inc.,Boston,MA,100
Dillard's Inc.,Little Rock,AR,35
DIRECTV,El Segundo,CA,95
Discover Financial Services,Riverwoods,IL,45
DISH Network Corp.,Englewood,CO,55
DLA Piper,Baltimore,MD,100
Dole Food Co. Inc.,Westlake Village,CA,45
Dollar General Corp.,Goodlettsville,TN,35
Dollar Thrifty Automotive Group Inc.,Tulsa,OK,70
Dollar Tree Stores Inc.,Chesapeake,VA,30
Dominion Resources Inc.,Richmond,VA,85
Domino's Pizza Inc.,Ann Arbor,MI,35
Domtar Corp.,Fort Mill,SC,15
Dorsey & Whitney LLP,Minneapolis,MN,100
Dover Corp.,Downers Grove,IL,15
Dow Chemical Co. The,Midland,MI,100
DR Horton Inc.,Fort Worth,TX,70
Dr Pepper Snapple Group Inc.,Plano,TX,45
Drinker Biddle & Reath LLP,Philadelphia,PA,100
DTE Energy Co.,Detroit,MI,85
Duane Morris LLP,Philadelphia,PA,100
Duke Energy Corp.,Charlotte,NC,85
Dun & Bradstreet Corp. The,Short Hills,NJ,85
Dykema Gossett PLLC,Detroit,MI,100
E&J Gallo Winery,Modesto,CA,95
E*TRADE Financial Corp.,New York,NY,55
E. I. du Pont de Nemours and Co. (DuPont),Wilmington,DE,95
EarthLink Inc.,Atlanta,GA,45
Eastman Chemical Co.,Kingsport,TN,15
Eastman Kodak Co.,Rochester,NY,100
Eaton Corp.,Cleveland,OH,100
eBay Inc.,San Jose,CA,100
Ecolab Inc.,St. Paul,MN,100
Edison International,Rosemead,CA,15
Edwards Wildman Palmer LLP,Boston,MA,100
Electronic Arts Inc.,Redwood City,CA,100
Eli Lilly & Co.,Indianapolis,IN,100
EMC Corp.,Hopkinton,MA,100
EMCOR Group Inc.,Norwalk,CT,40
Emerson Electric Co.,St. Louis,MO,15
Enbridge Energy Partners,Houston,TX,15
Energy Future Holdings Corp.,Dallas,TX,15
Energy Transfer Partners L.P.,Dallas,TX,15
Entergy Corp.,New Orleans,LA,90
Enterprise Holdings Inc.,St. Louis,MO,65
Enterprise Products Partners LP,Houston,TX,15
EOG Resources,Houston,TX,15
Epstein Becker & Green PC,New York,NY,30
Erie Insurance Group,Erie,PA,15
Ernst & Young LLP,New York,NY,100
Estée Lauder Companies Inc. The,New York,NY,85
Esurance Inc.,San Francisco,CA,90
Excellus Health Plan Inc.,Rochester,NY,90
Exelon Corp.,Chicago,IL,100
Expedia Inc.,Bellevue,WA,80
Expeditors International of Washington DC Inc.,Seattle,WA,15
Express Scripts Inc.,St. Louis,MO,30
Exxon Mobil Corp.,Irving,TX,-25
Faegre & Benson LLP,Minneapolis,MN,100
Family Dollar Stores,Matthews,NC,15
Federal Home Loan Mortgage Corp. (Freddie Mac),McLean,VA,100
Federal National Mortgage Association (Fannie Mae),Washington DC,DC,100
Federal Reserve Bank of Boston,Boston,MA,30
Federal Reserve Bank of Richmond,Richmond,VA,30
