Employer,City,State,CEI Rating
3M Co.,St. Paul,MN,100
A.T. Kearney Inc.,Chicago,IL,100
A|X Armani Exchange,New York,NY,100
AAA Northern California Nevada & Utah Insurance Exchange,Walnut Creek,CA,100
Abbott Laboratories,Abbott Park,IL,60
Abercrombie & Fitch Co.,New Albany,OH,100
Accenture Ltd.,New York,NY,100
Acer Inc.,Irvine,CA,90
Adecco North America LLC,Melville,NY,30
Adobe Systems Inc.,San Jose,CA,90
Advance Auto Parts (Advance Holding),Roanoke,VA,30
Advanced Micro Devices Inc.,Sunnyvale,CA,65
AECOM Technology Corp.,Los Angeles,CA,90
AEGON USA Inc.,Cedar Rapids,IA,85
Aéropostale Inc.,New York,NY,100
AES Corp. The,Arlington,VA,15
Aetna Inc.,Hartford,CT,100
AFLAC Inc.,Columbus,GA,75
Agco,Duluth,GA,45
Agilent Technologies Inc.,Santa Clara,CA,90
Ahold USA Inc.,Quincy,MA,55
AIG,New York,NY,100
Air Products & Chemicals Inc.,Allentown,PA,85
AK Steel Holding Corp.,West Chester,OH,30
Akin  Gump Strauss Hauer & Feld LLP,Washington DC,DC,100
Alaska Air Group Inc.,Seattle,WA,90
Alcatel-Lucent,Murray Hill,NJ,90
Alcoa Inc.,New York,NY,100
Aleris International Inc.,Cleveland,OH,15
Allegheny Energy Inc.,Greensburg,PA,15
Allegheny Technologies Inc.,Pittsburgh,PA,30
Allergan Inc.,Irvine,CA,15
Alliant Energy Corp.,Madison,WI,85
Alliant Techsystems Inc.,Arlington,VA,50
Allianz Life Insurance Co. of North America,Minneapolis,MN,100
Allscripts-Misys Healthcare Solutions Inc.,Chicago,IL,30
Allstate Corp. The,Northbrook,IL,85
Ally Financial Inc.,Detroit,MI,15
Alpha Natural Resources Inc.,Bristol,VA,15
Alston & Bird LLP,Atlanta,GA,100
Altria Group Inc.,Richmond,VA,80
Amazon.com Inc.,Seattle,WA,80
AMC Entertainment Inc.,Leawood,KS,100
Ameren Corp.,St. Louis,MO,85
American Eagle Outfitters Inc.,Pittsburgh,PA,100
American Electric Power Co. Inc.,Columbus,OH,85
American Express Co.,New York,NY,100
American Family Insurance Group,Madison,WI,55
Amerigroup Corp.,Virginia Beach,VA,30
Ameriprise Financial Inc.,Minneapolis,MN,100
AmerisourceBergen Corp.,Chesterbrook,PA,60
Amgen Inc.,Thousand Oaks,CA,55
AMR Corp. (American Airlines),Fort Worth,TX,100
Anadarko Petroleum,The Woodlands,TX,60
Andrews Kurth LLP,Houston,TX,100
Anheuser-Busch Companies Inc.,St. Louis,MO,90
Anixter International Inc.,Glenview,IL,30
AOL,New York,NY,100
Aon Corp.,Chicago,IL,100
Apache Corp.,Houston,TX,30
Apple Inc.,Cupertino,CA,100
Applied Materials Inc.,Santa Clara,CA,90
Aramark Corp.,Philadelphia,PA,90
Archer Daniels Midland Co.,Decatur,IL,35
Arent Fox LLP,Washington DC,DC,100
Arnold & Porter LLP,Washington DC,DC,100
Arrow Electronics,Englewood,CO,15
ArvinMeritor Inc.,Troy,MI,15
Ashland Inc.,Covington,KY,15
Assurant,New York,NY,85
Astellas Pharma US Inc.,Deerfield,IL,55
AstraZeneca PLC,Wilmington,DE,85
AT&T Inc.,Dallas,TX,100
Austin Radiological Assn.,Austin,TX,40
Autoliv Inc.,Auburn Hills,MI,30
Automatic Data Processing Inc.,Roseland,NJ,100
AutoNation Inc.,Fort Lauderdale,FL,15
Auto-Owners Insurance Group,Lansing,MI,0
AutoZone Inc.,Memphis,TN,30
Avaya Inc.,Basking Ridge,NJ,30
Avery Dennison,Pasadena,CA,15
Avis Budget Group Inc.,Parsippany,NJ,15
Avnet Inc.,Phoenix,AZ,70
Avon Products Inc.,New York,NY,100
AXA Equitable Life Insurance Company,New York,NY,100
B J's Wholesale Club,Westborough,MA,35
BAE Systems Inc.,Arlington,VA,85
Bain & Co. Inc./Bridgespan Group,Boston,MA,100
Baker & Hostetler LLP,Cleveland,OH,90
Baker & McKenzie LLP,Chicago,IL,100
Baker Botts LLP,Houston,TX,90
Baker Hughes Inc.,Houston,TX,90
Baker Donelson Bearman Caldwell & Berkowitz PC,Memphis,TN,85
Baldor Electric Co.,Fort Smith,AR,25
Ball Corp.,Broomfield,CO,85
Ballard Spahr LLP,Philadelphia,PA,90
Bank of America Corp.,Charlotte,NC,100
Bank of New York Mellon Corp. The,New York,NY,100
Barclays,New York,NY,100
Barnes & Noble Inc.,New York,NY,100
BASF Corp.,Florham Park,NJ,100
Bausch & Lomb Inc.,Rochester,NY,55
Baxter International Inc.,Deerfield,IL,80
Bayer Corp.,Pittsburgh,PA,80
BB&T Corp.,Winston-Salem,NC,80
Becton Dickinson and Co.,Franklin Lakes,NJ,30
Bed Bath & Beyond Inc.,Union,NJ,30
Bemis Co. Inc.,Neenah,WI,15
Berkshire Hathaway Inc.,Omaha,NE,0
Best Buy Co. Inc.,Richfield,MN,100
Big Lots,Columbus,OH,100
Bingham McCutchen LLP,Boston,MA,100
Biogen Idec Inc.,Weston,MA,90
Black & Veatch Corp.,Overland Park,KS,65
BlackRock,New York,NY,100
Bloomin' Brands Inc.,Tampa,FL,70
Blue Cross Blue Shield of Florida Inc.,Jacksonville,FL,90
Blue Cross Blue Shield of Michigan,Detroit,MI,85
Blue Cross Blue Shield of Minnesota,Eagan,MN,100
Blue Cross Blue Shield of North Carolina,Durham,NC,100
Blue Cross Blue Shield of Rhode Island,Providence,RI,85
BMC HealthNet Plan,Boston,MA,60
BMC Software Inc.,Houston,TX,90
BMO Bankcorp Inc.,Chicago,IL,90
BNP Paribas,New York,NY,100
Bob Evans Farms Inc.,Columbus,OH,75
Boehringer Ingelheim USA Corp.,Ridgefield,CT,100
Boeing Co.,Chicago,IL,100
Bon-Ton Stores Inc.,York,PA,100
Booz Allen Hamilton Inc.,McLean,VA,100
BorgWarner Inc.,Auburn Hills,MI,30
Boston Consulting Group,Boston,MA,100
Boston Scientific Corp.,Natick,MA,65
BP America Inc.,Houston,TX,90
Bracewell & Giuliani,Houston,TX,90
Bridgestone Americas Holding Inc.,Nashville,TN,70
Bright Horizons Family Solutions Inc.,Watertown,MA,85
Brinker International Inc.,Dallas,TX,70
Bristol-Myers Squibb Co.,New York,NY,100
Broadcom Corp.,Irvine,CA,65
Broadridge Financial Solutions Inc.,Lake Success,NY,100
Brown Brothers Harriman & Co.,New York,NY,65
Brown Rudnick LLP,Boston,MA,100
Brown Shoe Company Inc.,St. Louis,MO,60
Brown-Forman Corp.,Louisville,KY,100
Bryan Cave LLP,Saint Louis,MO,100
Burger King Corp.,Miami,FL,55
Burlington Coat Factory Warehouse Corp.,Burlington,NJ,0
Burlington Northern Santa Fe Corp.,Fort Worth,TX,0
C&S Wholesale Grocers Inc.,Keene,NH,0
C. H. Robinson Worldwide,Eden Prairie,MN,15
CA Technologies Inc.,Islandia,NY,100
Cablevision Systems Corp.,Bethpage,NY,15
Cadwalader Wickersham & Taft LLP,New York,NY,100
Caesars Entertainment Corp.,Las Vegas,NV,100
Calpine Corp.,Houston,TX,90
Cameron International Corp.,Houston,TX,0
Campbell Soup Co.,Camden,NJ,100
Canadian Imperial Bank of Commerce,New York,NY,100
Capgemini U.S. LLC,New York,NY,90
Capital One Financial Corp.,McLean,VA,100
Cardinal Health Inc.,Dublin,OH,100
CareFusion Corp.,San Diego,CA,100
Cargill Inc.,Wayzata,MN,90
Caribou Coffee Company Inc.,Minneapolis,MN,55
Carlson Companies Inc.,Minnetonka,MN,85
Carlton Fields PA,Tampa,FL,100
CarMax Inc.,Richmond,VA,100
Carnival Corp.,Miami,FL,85
Casey's General Stores Inc.,Ankeny,IA,0
Catalyst Health Solutions Inc.,Rockville,MD,15
Caterpillar Inc.,Peoria,IL,90
CBRE Inc.,Los Angeles,CA,100
CBS Corp.,New York,NY,100
CC Media Holdings Inc. (Clear Channel),San Antonio,TX,75
CDW Corp.,Vernon Hills,IL,90
Celanese Corp.,Dallas,TX,15
Celgene Corp.,Summit,NJ,30
Centene Corp.,St. Louis,MO,0
CenterPoint Energy Inc.,Houston,TX,90
CenturyLink Inc.,Monroe,LA,0
Cerner Corp.,Kansas City,MO,90
CF Industries Holdings Inc.,Deerfield,IL,90
CH2M HILL Companies Ltd.,Englewood,CO,90
Chadbourne & Parke LLP,New York,NY,100
Chamberlin Edmonds & Associates Inc.,Atlanta,GA,90
Chapman and Cutler LLP,Chicago,IL,100
Charles Schwab Corp. The,San Francisco,CA,100
Charter Communications,St. Louis,MO,15
Chesapeake Energy Corp.,Oklahoma City,OK,15
Chevron Corp.,San Ramon,CA,100
Chipotle Mexican Grill Inc.,Denver,CO,75
Choate Hall & Stewart LLP,Boston,MA,100
Choice Hotels International Inc.,Rockville,MD,100
Chrysler Group LLC,Auburn Hills,MI,100
CHS Inc.,Inver Grove Heights,MN,0
Chubb Corp.,Warren,NJ,100
CIGNA Corp.,Bloomfield,CT,100
Cisco Systems Inc.,San Jose,CA,100
CIT Group Inc.,New York,NY,15
Citigroup Inc.,New York,NY,100
Classified Ventures LLC,Chicago,IL,90
Cleary Gottlieb Steen & Hamilton LLP,New York,NY,100
Cleveland-Cliffs Inc.,Cleveland,OH,15
Clifford Chance US LLP,New York,NY,100
Clorox Co.,Oakland,CA,85
CMS Energy Services,Jackson,MI,35
CNA Insurance,Chicago,IL,85
Coach Inc.,New York,NY,75
Coca-Cola Co. The,Atlanta,GA,90
Cognizant Technology Solutions Corp.,Teaneck,NJ,35
Colgate-Palmolive Co.,New York,NY,100
Comcast Corp.,Philadelphia,PA,100
Comerica Inc.,Dallas,TX,90
Commercial Metals,Irving,TX,15
Community Health Systems Inc.,Franklin,TN,30
Compass Bancshares Inc. (BBVA Compass),Birmingham,AL,65
Compass Group USA Inc.,Charlotte,NC,65
Computer Sciences Corp. (CSC),Falls Church,VA,85
Compuware Corp.,Detroit,MI,60
ConAgra Foods Inc.,Omaha,NE,95
ConocoPhillips,Houston,TX,55
Consol Energy Inc.,Canonsburg,PA,15
Consolidated Edison Co.,New York,NY,90
Constellation Energy Group Inc.,Baltimore,MD,90
Convergys Corp.,Cincinnati,OH,30
Con-way Inc.,Ann Arbor,MI,30
Cooley LLP,Palo Alto,CA,100
Cooper Tire & Rubber Co.,Findlay,OH,25
Corbis Corp.,Seattle,WA,90
CoreLogic,Santa Ana,CA,90
Core-Mark Holding Company Inc.,South San Francisco,CA,0
Corn Products International Inc.,Westchester,IL,60
Corning Inc.,Corning,NY,100
Costco Wholesale Corp.,Issaquah,WA,90
Coventry Health Care,Bethesda,MD,15
Covington & Burling LLP,Washington DC,DC,100
Cox Enterprises Inc.,Atlanta,GA,90
Cracker Barrel Old Country Store Inc.,Lebanon,TN,45
Crate and Barrel / CB2,Northbrook,IL,85
Cravath Swaine & Moore LLP,New York,NY,90
Credit Suisse USA Inc.,New York,NY,90
Crowell & Moring LLP,Washington DC,DC,100
Crown Holdings,Philadelphia,PA,30
CSX Corp.,Jacksonville,FL,85
Cummins Inc.,Columbus,IN,100
CUNA Mutual Insurance Group,Madison,WI,30
CVR Energy Inc.,Sugar Land,TX,15
CVS Caremark Corp.,Woonsocket,RI,85
Dana Holding Corp.,Maumee,OH,30
Danaher Corp.,Washington DC,DC,100
Darden Restaurants Inc.,Orlando,FL,100
Davis Polk & Wardwell LLP,New York,NY,100
Davis Wright Tremaine LLP,Seattle,WA,75
DaVita Inc.,Denver,CO,30
Day Pitney LLP,Hartford,CT,80
Dean Foods Co.,Dallas,TX,30
Debevoise & Plimpton LLP,New York,NY,100
Dechert LLP,Philadelphia,PA,100
Deere & Co.,Moline,IL,65
Delhaize America Inc.,Salisbury,NC,100
Dell Inc.,Round Rock,TX,100
Deloitte LLP,New York,NY,100
Delta Air Lines Inc.,Atlanta,GA,90
Dentons US LLP,New York,NY,100
Depository Trust & Clearing Corp. The,New York,NY,100
Deutsche Bank,New York,NY,100
Devon Energy Corp.,Oklahoma City,OK,30
Diageo North America,Norwalk,CT,100
Dick's Sporting Goods Inc.,Coraopolis,PA,30
Dickstein Shapiro LLP,Washington DC,DC,100
Digitas Inc.,Boston,MA,100
Dillard's Inc.,Little Rock,AR,30
DIRECTV,El Segundo,CA,95
Discover Financial Services,Riverwoods,IL,100
DISH Network Corp.,Englewood,CO,30
DLA Piper,Baltimore,MD,100
Dole Food Co. Inc.,Westlake Village,CA,30
Dollar General Corp.,Goodlettsville,TN,70
Dollar Thrifty Automotive Group Inc.,Tulsa,OK,85
Dollar Tree Stores Inc.,Chesapeake,VA,30
Dominion Resources Inc.,Richmond,VA,85
Domino's Pizza Inc.,Ann Arbor,MI,35
Domtar Corp.,Fort Mill,SC,15
Dorsey & Whitney LLP,Minneapolis,MN,100
Dover Corp.,Downers Grove,IL,15
Dow Chemical Co. The,Midland,MI,100
Dr Pepper Snapple Group Inc.,Plano,TX,90
Drinker Biddle & Reath LLP,Philadelphia,PA,100
DTE Energy Co.,Detroit,MI,90
Duane Morris LLP,Philadelphia,PA,100
Duke Energy Corp.,Charlotte,NC,90
Dun & Bradstreet Corp. The,Short Hills,NJ,30
Dykema Gossett PLLC,Detroit,MI,100
E&J Gallo Winery,Modesto,CA,100
E*TRADE Financial Corp.,New York,NY,55
E. I. du Pont de Nemours and Co. (DuPont),Wilmington,DE,100
EarthLink Inc.,Atlanta,GA,55
Eastern Bank Corp.,Boston,MA,100
Eastman Chemical Co.,Kingsport,TN,15
Eastman Kodak Co.,Rochester,NY,100
Eaton Corp.,Cleveland,OH,15
eBay Inc.,San Jose,CA,100
Ecolab Inc.,St. Paul,MN,100
Edison International,Rosemead,CA,15
Edwards Wildman Palmer LLP,Boston,MA,100
El Paso Corp.,Houston,TX,15
Electronic Arts Inc.,Redwood City,CA,100
Eli Lilly & Co.,Indianapolis,IN,100
EMC Corp.,Hopkinton,MA,100
EMCOR Group Inc.,Norwalk,CT,15
Emerson Electric Co.,St. Louis,MO,90
Emmis Communications Corp.,Indianapolis,IN,75
Enbridge Energy Partners,Houston,TX,15
Energy Future Holdings Corp.,Dallas,TX,15
Energy Transfer Partners L.P.,Dallas,TX,15
