Employer,City,State,CEI Rating
Entergy Corp.,New Orleans,LA,80
Enterprise Holdings Inc.,St. Louis,MO,65
Enterprise Products Partners L.P.,Houston,TX,15
EOG Resources,Houston,TX,15
Epstein Becker & Green PC,New York,NY,100
Erie Insurance Group,Erie,PA,30
Ernst & Young LLP,New York,NY,95
Estée Lauder Companies Inc. The,New York,NY,90
Esurance Inc.,San Francisco,CA,95
Excellus Health Plan Inc.,Rochester,NY,30
Exelis,McLean,VA,30
Exelon Corp.,Chicago,IL,100
Expedia Inc.,Bellevue,WA,90
Expeditors International of Washington DC Inc.,Seattle,WA,15
Express Scripts Inc.,St. Louis,MO,70
Exxon Mobil Corp.,Irving,TX,-25
FactSet Research Systems Inc.,Norwalk,CT,80
Faegre Baker Daniels,Minneapolis,MN,100
Family Dollar Stores,Matthews,NC,30
Federal Home Loan Mortgage Corp. (Freddie Mac),McLean,VA,100
Federal National Mortgage Association (Fannie Mae),Washington DC,DC,100
Federal Reserve Bank of Boston,Boston,MA,80
Federal Reserve Bank of Cleveland,Cleveland,OH,80
Federal Reserve Bank of Richmond,Richmond,VA,80
FedEx Corp.,Memphis,TN,85
Fenwick & West LLP,Mountain View,CA,100
Fidelity National Financial Corp.,Jacksonville,FL,30
Fidelity National Information Services Inc.,Jacksonville,FL,80
Fifth & Pacific Companies Inc.,New York,NY,85
Fifth Third Bancorp,Cincinnati,OH,90
Financial Industry Regulatory Authority Inc.,Washington DC,DC,90
Finnegan Henderson Farabow Garrett & Dunner LLP,Washington DC,DC,100
First Data Corp.,Atlanta,GA,45
First Horizon National Corp.,Memphis,TN,70
FirstEnergy Corp.,Akron,OH,15
Fish & Richardson PC,Boston,MA,100
Fluor Corp.,Irving,TX,15
FMC Technologies Inc.,Houston,TX,15
Foley & Lardner LLP,Milwaukee,WI,100
Foley Hoag LLP,Boston,MA,100
Foot Locker Inc.,New York,NY,100
Ford Motor Co.,Dearborn,MI,100
Franklin Resources Inc.,San Mateo,CA,80
Freeport-McMoRan Copper & Gold Inc.,Phoenix,AZ,40
Freescale Semiconductor Inc.,Austin,TX,80
Fried Frank Harris Shriver & Jacobson LLP,New York,NY,100
Frontier Communications,Stamford,CT,15
Frost Brown Todd LLC,Cincinnati,OH,90
Fulbright & Jaworski LLP,Houston,TX,100
Galloway Johnson Tompkins Burr & Smith PC,New Orleans,LA,15
GameStop Corp.,Grapevine,TX,15
Gannett Co. Inc.,McLean,VA,45
Gap Inc.,San Francisco,CA,100
Gastronomy Inc.,Salt Lake City,UT,70
Genentech Inc.,South San Francisco,CA,100
General Cable Corp.,Highland Heights,KY,15
General Dynamics Corp.,Falls Church,VA,85
General Electric Co.,Fairfield,CT,90
General Mills Inc.,Minneapolis,MN,100
General Motors Co.,Detroit,MI,100
Genuine Parts Co.,Atlanta,GA,15
Genworth Financial Inc.,Richmond,VA,65
Gibson Dunn & Crutcher LLP,Los Angeles,CA,100
Gilead Sciences Inc.,Foster City,CA,0
GlaxoSmithKline LLC,Research Triangle Park,NC,100
Global Partners,Waltham,MA,15
Goldman Sachs Group Inc. The,New York,NY,100
Goodrich Corp.,Charlotte,NC,100
Goodwin Procter LLP,Boston,MA,100
Goodyear Tire & Rubber Co.,Akron,OH,15
Google Inc.,Mountain View,CA,100
Gordon & Rees LLP,San Francisco,CA,90
Goulston & Storrs,Boston,MA,80
Grant Thornton LLP,Chicago,IL,90
Graybar Electric Company Inc.,St. Louis,MO,15
Great Atlantic & Pacific Tea Co. Inc. The,Montvale,NJ,0
Green Mountain Coffee Roasters Inc.,Waterbury,VT,85
Greenberg Traurig LLP,New York,NY,95
Group 1 Automotive,Houston,TX,15
Group Health Cooperative,Seattle,WA,100
Group Health Permanente,Seattle,WA,100
Groupon Inc.,Chicago,IL,100
Guardian Life Insurance Co. of America The,New York,NY,35
H&M Hennes & Mauritz AB,North Arlington,NJ,70
H&R Block Inc.,Kansas City,MO,35
H.E. Butt Grocery Co.,San Antonio,TX,40
H.J. Heinz Co.,Pittsburgh,PA,85
Hachette Book Group,New York,NY,75
Hain Celestial Group Inc.,Lake Success,NY,30
Halliburton Co.,Houston,TX,15
Hallmark Cards Inc.,Kansas City,MO,30
Hanesbrands Inc.,Winston-Salem,NC,60
Hanover Direct Inc.,Weehawken,NJ,90
Harley-Davidson Inc.,Milwaukee,WI,15
Harris Corp.,Melbourne,FL,65
Harris Interactive Inc.,New York,NY,90
Harry & David Holdings Inc.,Medford,OR,55
Hartford Financial Services Group Inc. The,Hartford,CT,100
Harvard Pilgrim Health Care Inc.,Wellesley,MA,100
Hasbro Inc.,Pawtucket,RI,25
Haynes and Boone LLP,Dallas,TX,100
HCA - Hospital Corporation of America,Nashville,TN,85
Health Care Service Corp.,Chicago,IL,80
Health Management Associates Inc.,Naples,FL,30
Health Net Inc.,Woodland Hills,CA,60
Henry Schein,Melville,NY,100
Herman Miller Inc.,Zeeland,MI,100
Herrick Feinstein LLP,New York,NY,90
Hershey Co. The,Hershey,PA,65
Hertz Global Holdings Inc.,Park Ridge,NJ,65
Hess Corp.,New York,NY,40
Hewlett-Packard Co.,Palo Alto,CA,100
Hillshire Brands Co.,Chicago,IL,85
Hilton Worldwide Inc.,McLean,VA,100
Hinshaw & Culbertson LLP,Chicago,IL,100
Hogan Lovells US LLP,Washington DC,DC,100
Holland & Hart LLP,Denver,CO,65
Holland & Knight LLP,Tampa,FL,90
HollyFrontier Corp.,Dallas,TX,0
Holme Roberts & Owen LLP,Denver,CO,45
Home Depot Inc. The,Atlanta,GA,85
Honeywell International Inc.,Morris Township,NJ,65
Horizon Healthcare Services Inc.,Newark,NJ,80
Hormel Foods Corp.,Austin,MN,85
Hospira Inc.,Lake Forest,IL,60
Host Hotels & Resorts Inc.,Bethesda,MD,15
Houghton Mifflin Harcourt Publishing Co.,Boston,MA,75
Howard & Howard Attorneys PLLC,Kalamazoo,MI,60
Howrey LLP,Washington DC,DC,70
HSBC - North America,New York,NY,100
HSN Inc.,St. Petersburg,FL,85
Hughes Hubbard and Reed,New York,NY,90
Humana Inc.,Louisville,KY,100
Huntington Bancshares Inc.,Columbus,OH,100
Hunton & Williams LLP,Washington DC,DC,100
Huntsman Corp.,Salt Lake City,UT,40
Huron Consulting Group Inc.,Chicago,IL,100
Husch Blackwell LLP,Saint Louis,MO,90
Hyatt Hotels Corp.,Chicago,IL,90
Icahn Enterprises LP,New York,NY,0
Illinois Tool Works Inc.,Glenview,IL,45
Imation Corp.,Oakdale,MN,60
Infosys Limited Inc.,Plano,TX,70
ING North America Insurance Corp.,New York,NY,100
Ingram Micro,Santa Ana,CA,80
Insight Enterprises Inc.,Tempe,AZ,75
Intel Corp.,Santa Clara,CA,95
InterContinental Hotels Group Americas,Atlanta,GA,80
International Business Machines Corp. (IBM),Armonk,NY,100
International Paper Co.,Memphis,TN,95
Interpublic Group of Companies Inc.,New York,NY,100
INTL FCStone Inc.,New York,NY,0
Intuit Inc.,Mountain View,CA,100
ITT Corp.,White Plains,NY,75
J. M. Smucker Co.,Orrville,OH,95
J.C. Penney Co. Inc.,Plano,TX,15
Jabil Circuit Inc.,St. Petersburg,FL,15
Jacobs Engineering Group Inc.,Pasadena,CA,90
Jarden Corp.,Rye,NY,50
Jenner & Block LLP,Chicago,IL,100
JetBlue Airways Corp.,Long Island City,NY,90
John Hancock Financial Services Inc.,Boston,MA,90
Johnson & Johnson,New Brunswick,NJ,100
Johnson Controls Inc.,Milwaukee,WI,50
Jones Group The,New York,NY,70
Jones Lang LaSalle,Chicago,IL,100
JPMorgan Chase & Co.,New York,NY,100
K&L Gates LLP,Pittsburgh,PA,100
Kaiser Permanente,Oakland,CA,100
Katten Muchin Rosenman LLP,Chicago,IL,100
Kaye Scholer LLP,New York,NY,90
KB Home,Los Angeles,CA,50
KBR Inc.,Houston,TX,15
Keane Inc.,Boston,MA,25
Kelley Drye & Warren LLP,New York,NY,90
Kellogg Co.,Battle Creek,MI,100
Kelly Services Inc.,Troy,MI,0
Kenneth Cole Productions Inc.,New York,NY,85
Kenyon & Kenyon,New York,NY,100
KeyCorp,Cleveland,OH,100
Kilpatrick Townsend & Stockton LLP,Atlanta,GA,90
Kimberly-Clark Corp.,Irving,TX,90
Kimpton Hotel & Restaurant Group Inc.,San Francisco,CA,100
Kinder Morgan Inc.,Houston,TX,15
Kindred Healthcare,Louisville,KY,15
King & Spalding LLP,Atlanta,GA,100
Kirkland & Ellis LLP,Chicago,IL,100
KLA-Tencor Corp.,Milpitas,CA,35
Kohl's Corp.,Menomonee Falls,WI,90
KPMG LLP,New York,NY,100
Kraft Foods Group Inc.,Northfield,IL,100
Kramer Levin Naftalis & Frankel LLP,New York,NY,100
Kroger Co. The,Cincinnati,OH,85
Kutak Rock LLP,Omaha,NE,90
L.L. Bean Inc.,Freeport,ME,65
L-3 Communications Holdings,New York,NY,35
Laboratory Corporation of America Holdings,Burlington,NC,75
Laclede Group Inc. The,St. Louis,MO,15
Land O'Lakes Inc.,Arden Hills,MN,15
Las Vegas Sands Corp.,Las Vegas,NV,15
Latham & Watkins LLP,New York,NY,100
Lear Corp.,Southfield,MI,15
Leo Burnett Company Inc.,Chicago,IL,100
Levi Strauss & Co.,San Francisco,CA,100
LexisNexis Group,Miamisburg,OH,90
Lexmark International Inc.,Lexington,KY,85
Liberty Global Inc.,Englewood,CO,15
Liberty Interactive Corp.,Englewood,CO,15
Liberty Mutual Group,Boston,MA,100
Limited Brands Inc.,Columbus,OH,100
Lincoln National Corp.,Radnor,PA,85
Lindquist & Vennum LLP,Minneapolis,MN,95
Littler Mendelson PC,San Francisco,CA,100
Live Nation Inc.,Beverly Hills,CA,70
Locke Lord Bissell & Liddell LLP,Houston,TX,45
Lockheed Martin Corp.,Bethesda,MD,100
Loeb & Loeb LLP,New York,NY,75
Lowes Companies,New York,NY,35
Lowe's Companies Inc.,Mooresville,NC,30
Luce Forward Hamilton & Scripps LLP,San Diego,CA,100
M&T Bank Corp.,Buffalo,NY,90
Macy's Inc.,Cincinnati,OH,90
Manatt Phelps & Phillips LLP,Los Angeles,CA,100
ManpowerGroup,Milwaukee,WI,85
Marathon Oil Corp.,Houston,TX,15
Marathon Petroleum Corp.,Findlay,OH,15
Marriott International Inc.,Bethesda,MD,100
Mars Inc.,Mt. Olive,NJ,60
Marsh & McLennan Companies Inc.,New York,NY,100
Masco Corp.,Taylor,MI,15
Massachusetts Mutual Life Insurance Co.,Springfield,MA,100
MasterCard Inc.,Purchase,NY,95
Mattel Inc.,El Segundo,CA,90
Mayer Brown LLP,Chicago,IL,100
Mayo Clinic,Rochester,MN,85
McAfee Inc.,Santa Clara,CA,100
McCarter & English LLP,Newark,NJ,90
McDermott Will & Emery LLP,Chicago,IL,100
McDonald's Corp.,Oak Brook,IL,100
McGraw-Hill Companies Inc. The,New York,NY,100
McGuireWoods LLP,Richmond,VA,90
McKenna Long & Aldridge LLP,Atlanta,GA,100
McKesson Corp.,San Francisco,CA,80
McKinsey & Co. Inc.,New York,NY,100
MeadWestvaco Corp.,Richmond,VA,90
Medco Health Solutions,Franklin Lakes,NJ,15
Medtronic Inc.,Minneapolis,MN,100
Meijer Inc.,Grand Rapids,MI,25
Men's Wearhouse Inc. The,Houston,TX,100
Merck & Co. Inc.,Whitehouse Station,NJ,100
MetLife Inc.,New York,NY,100
MetroPCS,Richardson,TX,100
MGM Resorts International,Las Vegas,NV,100
Micron Technology Inc.,Boise,ID,15
Microsoft Corp.,Redmond,WA,100
"Milbank Tweed	 Hadley & McCloy LLP",New York,NY,100
MillerCoors LLC,Chicago,IL,100
Mintz Levin  Cohn Ferris Glovsky & Popeo PC,Boston,MA,100
Mirant Corp.,Atlanta,GA,30
Mitchell Gold + Bob Williams,Taylorsville,NC,90
Mohawk Industries Inc.,Calhoun,GA,35
Molina Healthcare Inc.,Long Beach,CA,15
Momentive Specialty Chemicals Inc.,Columbus,OH,15
Monsanto Co.,St. Louis,MO,100
Moody's Corp.,New York,NY,100
Moore & Van Allen PLLC,Charlotte,NC,75
Morgan Lewis & Bockius LLP,Philadelphia,PA,100
Morgan Stanley,New York,NY,100
Morningstar Inc.,Chicago,IL,100
Morrison & Foerster LLP,San Francisco,CA,100
Mosaic Co.,Plymouth,MN,70
Motorola Solutions Inc.,Schaumburg,IL,90
MRC Global,Houston,TX,15
MSLGROUP Americas,New York,NY,100
Munger Tolles & Olson LLP,Los Angeles,CA,60
Murphy Oil,El Dorado,AR,50
Mutual of Omaha Insurance,Omaha,NE,15
Mylan Laboratories Inc.,Canonsburg,PA,30
Nash Finch,Minneapolis,MN,30
National Grid USA,Brooklyn,NY,90
National Oilwell Varco Inc.,Houston,TX,15
Nationwide,Columbus,OH,100
Navigant Consulting Inc.,Chicago,IL,100
Navistar International Corp.,Lisle,IL,40
NCR Corp.,Duluth,GA,90
Nelson Mullins Riley & Scarborough LLP,Columbia,SC,90
Nestl√© Purina PetCare Co.,St. Louis,MO,85
NetApp Inc.,Sunnyvale,CA,90
New York Life Insurance Co.,New York,NY,100
New York Times Co. The,New York,NY,90
Newell Rubbermaid Inc.,Atlanta,GA,85
Newmont Mining Corporation,Greenwood Village,CO,65
NextEra Energy Inc.,Juno Beach,FL,70
Nielsen Co. The,New York,NY,100
NII Holdings,Reston,VA,15
Nike Inc.,Beaverton,OR,100
NiSource Inc.,Merrillville,IN,30
Nissan North America Inc.,Franklin,TN,90
Nixon Peabody LLP,Boston,MA,100
Nokia Corp.,Irving,TX,90
Nordstrom Inc.,Seattle,WA,100
Norfolk Southern Corp.,Norfolk,VA,100
Nortel Networks Corp.,Richardson,TX,0
Northeast Utilities,Hartford,CT,30
Northern Trust Corp.,Chicago,IL,100
